"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 10:36:05PM","189 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 10:35:05PM","140 ms","OK","Phoenix (AZ)"
"up","10/12/2017 10:34:05PM","57 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 10:33:05PM","149 ms","OK","London (UK)"
"up","10/12/2017 10:32:05PM","224 ms","OK","Seattle 2)"
"up","10/12/2017 10:31:05PM","125 ms","OK","San Jose (CA)"
"up","10/12/2017 10:30:05PM","38 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 10:29:05PM","61 ms","OK","Chicago (IL)"
"up","10/12/2017 10:28:05PM","183 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 10:27:05PM","182 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 10:26:05PM","383 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 10:25:05PM","337 ms","OK","Phoenix (AZ)"
"up","10/12/2017 10:24:05PM","44 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 10:23:05PM","686 ms","OK","London (UK)"
"up","10/12/2017 10:22:05PM","258 ms","OK","Seattle 2)"
"up","10/12/2017 10:21:05PM","142 ms","OK","San Jose (CA)"
"up","10/12/2017 10:20:05PM","167 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 10:19:05PM","140 ms","OK","Chicago (IL)"
"up","10/12/2017 10:18:05PM","180 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 10:17:05PM","87 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 10:16:05PM","130 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 10:15:05PM","237 ms","OK","Phoenix (AZ)"
"up","10/12/2017 10:14:05PM","40 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 10:13:05PM","329 ms","OK","London (UK)"
"up","10/12/2017 10:12:05PM","368 ms","OK","Seattle 2)"
"up","10/12/2017 10:11:05PM","130 ms","OK","San Jose (CA)"
"up","10/12/2017 10:10:05PM","36 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 10:09:05PM","52 ms","OK","Chicago (IL)"
"up","10/12/2017 10:08:05PM","170 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 10:07:05PM","122 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 10:06:05PM","292 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 10:05:05PM","175 ms","OK","Phoenix (AZ)"
"up","10/12/2017 10:04:05PM","41 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 10:03:05PM","176 ms","OK","London (UK)"
"up","10/12/2017 10:02:05PM","137 ms","OK","Seattle 2)"
"up","10/12/2017 10:01:05PM","115 ms","OK","San Jose (CA)"
"up","10/12/2017 10:00:05PM","35 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 09:59:05PM","69 ms","OK","Chicago (IL)"
"up","10/12/2017 09:58:05PM","331 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 09:57:05PM","142 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 09:56:05PM","520 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 09:55:05PM","128 ms","OK","Phoenix (AZ)"
"up","10/12/2017 09:54:05PM","202 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 09:53:05PM","84 ms","OK","London (UK)"
"up","10/12/2017 09:52:05PM","259 ms","OK","Seattle 2)"
"up","10/12/2017 09:51:05PM","132 ms","OK","San Jose (CA)"
"up","10/12/2017 09:50:05PM","50 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 09:49:05PM","252 ms","OK","Chicago (IL)"
"up","10/12/2017 09:48:05PM","176 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 09:47:05PM","116 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 09:46:05PM","168 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 09:45:05PM","126 ms","OK","Phoenix (AZ)"
"up","10/12/2017 09:44:05PM","42 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 09:43:05PM","174 ms","OK","London (UK)"
"up","10/12/2017 09:42:05PM","211 ms","OK","Seattle 2)"
"up","10/12/2017 09:41:05PM","264 ms","OK","San Jose (CA)"
"up","10/12/2017 09:40:05PM","39 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 09:39:05PM","89 ms","OK","Chicago (IL)"
"up","10/12/2017 09:38:05PM","187 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 09:37:05PM","255 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 09:36:05PM","157 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 09:35:05PM","202 ms","OK","Phoenix (AZ)"
"up","10/12/2017 09:34:05PM","200 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 09:33:05PM","656 ms","OK","London (UK)"
"up","10/12/2017 09:32:05PM","238 ms","OK","Seattle 2)"
"up","10/12/2017 09:31:05PM","134 ms","OK","San Jose (CA)"
"up","10/12/2017 09:30:05PM","34 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 09:29:05PM","110 ms","OK","Chicago (IL)"
"up","10/12/2017 09:28:05PM","189 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 09:27:05PM","91 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 09:26:05PM","389 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 09:25:05PM","346 ms","OK","Phoenix (AZ)"
"up","10/12/2017 09:24:05PM","114 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 09:23:05PM","353 ms","OK","London (UK)"
"up","10/12/2017 09:22:05PM","174 ms","OK","Seattle 2)"
"up","10/12/2017 09:21:05PM","89 ms","OK","San Jose (CA)"
"up","10/12/2017 09:20:05PM","157 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 09:19:05PM","129 ms","OK","Chicago (IL)"
"up","10/12/2017 09:18:05PM","177 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 09:17:05PM","62 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 09:16:05PM","172 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 09:15:05PM","133 ms","OK","Phoenix (AZ)"
"up","10/12/2017 09:14:05PM","60 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 09:13:05PM","688 ms","OK","London (UK)"
"up","10/12/2017 09:12:05PM","458 ms","OK","Seattle 2)"
"up","10/12/2017 09:11:05PM","99 ms","OK","San Jose (CA)"
"up","10/12/2017 09:10:05PM","46 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 09:09:05PM","932 ms","OK","Chicago (IL)"
"up","10/12/2017 09:08:05PM","177 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 09:07:05PM","137 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 09:06:05PM","423 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 09:05:05PM","128 ms","OK","Phoenix (AZ)"
"up","10/12/2017 09:04:05PM","59 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 09:03:05PM","379 ms","OK","London (UK)"
"up","10/12/2017 09:02:05PM","205 ms","OK","Seattle 2)"
"up","10/12/2017 09:01:05PM","199 ms","OK","San Jose (CA)"
"up","10/12/2017 09:00:05PM","45 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 08:59:05PM","108 ms","OK","Chicago (IL)"
"up","10/12/2017 08:58:05PM","332 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 08:57:05PM","115 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 08:56:05PM","252 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 08:55:05PM","235 ms","OK","Phoenix (AZ)"
"up","10/12/2017 08:54:05PM","67 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 08:53:05PM","399 ms","OK","London (UK)"
"up","10/12/2017 08:52:05PM","136 ms","OK","Seattle 2)"
"up","10/12/2017 08:51:05PM","70 ms","OK","San Jose (CA)"
"up","10/12/2017 08:50:05PM","63 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 08:49:05PM","722 ms","OK","Chicago (IL)"
"up","10/12/2017 08:48:05PM","188 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 08:47:05PM","278 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 08:46:05PM","241 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 08:45:05PM","167 ms","OK","Phoenix (AZ)"
"up","10/12/2017 08:44:05PM","63 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 08:43:05PM","378 ms","OK","London (UK)"
"up","10/12/2017 08:42:05PM","131 ms","OK","Seattle 2)"
"up","10/12/2017 08:41:05PM","367 ms","OK","San Jose (CA)"
"up","10/12/2017 08:40:05PM","96 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 08:39:05PM","311 ms","OK","Chicago (IL)"
"up","10/12/2017 08:38:05PM","176 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 08:37:05PM","214 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 08:36:05PM","165 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 08:35:05PM","466 ms","OK","Phoenix (AZ)"
"up","10/12/2017 08:34:05PM","61 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 08:33:05PM","349 ms","OK","London (UK)"
"up","10/12/2017 08:32:05PM","251 ms","OK","Seattle 2)"
"up","10/12/2017 08:31:05PM","118 ms","OK","San Jose (CA)"
"up","10/12/2017 08:30:05PM","36 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 08:29:05PM","83 ms","OK","Chicago (IL)"
"up","10/12/2017 08:28:05PM","192 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 08:27:05PM","109 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 08:26:05PM","168 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 08:25:05PM","319 ms","OK","Phoenix (AZ)"
"up","10/12/2017 08:24:05PM","116 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 08:23:05PM","332 ms","OK","London (UK)"
"up","10/12/2017 08:22:05PM","241 ms","OK","Seattle 2)"
"up","10/12/2017 08:21:05PM","248 ms","OK","San Jose (CA)"
"up","10/12/2017 08:20:05PM","135 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 08:19:05PM","84 ms","OK","Chicago (IL)"
"up","10/12/2017 08:18:05PM","172 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 08:17:05PM","60 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 08:16:05PM","304 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 08:15:05PM","141 ms","OK","Phoenix (AZ)"
"up","10/12/2017 08:14:05PM","63 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 08:13:05PM","625 ms","OK","London (UK)"
"up","10/12/2017 08:12:05PM","363 ms","OK","Seattle 2)"
"up","10/12/2017 08:11:05PM","94 ms","OK","San Jose (CA)"
"up","10/12/2017 08:10:05PM","188 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 08:09:05PM","79 ms","OK","Chicago (IL)"
"up","10/12/2017 08:08:05PM","168 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 08:07:05PM","63 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 08:06:05PM","255 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 08:05:05PM","156 ms","OK","Phoenix (AZ)"
"up","10/12/2017 08:04:05PM","64 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 08:03:05PM","160 ms","OK","London (UK)"
"up","10/12/2017 08:02:05PM","201 ms","OK","Seattle 2)"
"up","10/12/2017 08:01:05PM","170 ms","OK","San Jose (CA)"
"up","10/12/2017 08:00:05PM","39 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 07:59:05PM","64 ms","OK","Chicago (IL)"
"up","10/12/2017 07:58:05PM","368 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 07:57:05PM","92 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 07:56:05PM","223 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 07:55:05PM","157 ms","OK","Phoenix (AZ)"
"up","10/12/2017 07:54:05PM","61 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 07:53:05PM","307 ms","OK","London (UK)"
"up","10/12/2017 07:52:05PM","225 ms","OK","Seattle 2)"
"up","10/12/2017 07:51:05PM","89 ms","OK","San Jose (CA)"
"up","10/12/2017 07:50:05PM","82 ms","OK","Matawan 2 (NJ)"
