"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 10:38:58PM","300 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 10:37:58PM","260 ms","OK","Dallas (TX)"
"up","10/12/2017 10:36:58PM","91 ms","OK","Seattle 2)"
"up","10/12/2017 10:35:58PM","89 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 10:34:58PM","160 ms","OK","Matawan (NJ)"
"up","10/12/2017 10:33:58PM","53 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:32:58PM","175 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 10:31:58PM","140 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:30:58PM","59 ms","OK","Los Angeles (CA)"
"up","10/12/2017 10:29:58PM","134 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 10:28:58PM","166 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 10:27:58PM","58 ms","OK","Dallas (TX)"
"up","10/12/2017 10:26:58PM","271 ms","OK","Seattle 2)"
"up","10/12/2017 10:25:58PM","102 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 10:24:58PM","100 ms","OK","Matawan (NJ)"
"up","10/12/2017 10:23:58PM","60 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:22:58PM","333 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 10:21:58PM","98 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:20:58PM","36 ms","OK","Los Angeles (CA)"
"up","10/12/2017 10:19:58PM","91 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 10:18:58PM","165 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 10:17:58PM","177 ms","OK","Dallas (TX)"
"up","10/12/2017 10:16:58PM","227 ms","OK","Seattle 2)"
"up","10/12/2017 10:15:58PM","59 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 10:14:58PM","67 ms","OK","Matawan (NJ)"
"up","10/12/2017 10:13:58PM","37 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:12:58PM","185 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 10:11:58PM","105 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:10:58PM","52 ms","OK","Los Angeles (CA)"
"up","10/12/2017 10:09:58PM","83 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 10:08:58PM","150 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 10:07:58PM","144 ms","OK","Dallas (TX)"
"up","10/12/2017 10:06:58PM","135 ms","OK","Seattle 2)"
"up","10/12/2017 10:05:58PM","115 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 10:04:58PM","131 ms","OK","Matawan (NJ)"
"up","10/12/2017 10:03:58PM","26 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:02:58PM","199 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 10:01:58PM","167 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:00:58PM","69 ms","OK","Los Angeles (CA)"
"up","10/12/2017 09:59:58PM","80 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 09:58:58PM","316 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 09:57:58PM","165 ms","OK","Dallas (TX)"
"up","10/12/2017 09:56:58PM","107 ms","OK","Seattle 2)"
"up","10/12/2017 09:55:58PM","77 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 09:54:58PM","66 ms","OK","Matawan (NJ)"
"up","10/12/2017 09:53:58PM","101 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:52:58PM","171 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 09:51:58PM","106 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 09:50:58PM","50 ms","OK","Los Angeles (CA)"
"up","10/12/2017 09:49:58PM","75 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 09:48:58PM","329 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 09:47:58PM","166 ms","OK","Dallas (TX)"
"up","10/12/2017 09:46:58PM","153 ms","OK","Seattle 2)"
"up","10/12/2017 09:45:58PM","123 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 09:44:58PM","116 ms","OK","Matawan (NJ)"
"up","10/12/2017 09:43:58PM","41 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:42:58PM","223 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 09:41:58PM","209 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 09:40:58PM","67 ms","OK","Los Angeles (CA)"
"up","10/12/2017 09:39:58PM","94 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 09:38:58PM","180 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 09:37:58PM","147 ms","OK","Dallas (TX)"
"up","10/12/2017 09:36:58PM","299 ms","OK","Seattle 2)"
"up","10/12/2017 09:35:58PM","65 ms","OK","Strasbourg 6 (France)"
