"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 10:36:10PM","220 ms","OK","Dallas (TX)"
"up","10/12/2017 10:35:10PM","22 ms","OK","New York (NY)"
"up","10/12/2017 10:34:10PM","263 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 10:33:10PM","292 ms","OK","Seattle 2)"
"up","10/12/2017 10:32:10PM","76 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 10:31:10PM","49 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 10:30:10PM","190 ms","OK","London (UK)"
"up","10/12/2017 10:29:10PM","36 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:28:10PM","103 ms","OK","Chicago (IL)"
"up","10/12/2017 10:27:10PM","211 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 10:26:10PM","228 ms","OK","Dallas (TX)"
"up","10/12/2017 10:25:10PM","103 ms","OK","New York (NY)"
"up","10/12/2017 10:24:10PM","235 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 10:23:10PM","242 ms","OK","Seattle 2)"
"up","10/12/2017 10:22:10PM","115 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 10:21:10PM","61 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 10:20:10PM","134 ms","OK","London (UK)"
"up","10/12/2017 10:19:10PM","140 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:18:10PM","61 ms","OK","Chicago (IL)"
"up","10/12/2017 10:17:10PM","106 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 10:16:10PM","218 ms","OK","Dallas (TX)"
"up","10/12/2017 10:15:10PM","29 ms","OK","New York (NY)"
"up","10/12/2017 10:14:10PM","184 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 10:13:10PM","165 ms","OK","Seattle 2)"
"up","10/12/2017 10:12:10PM","67 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 10:11:10PM","148 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 10:10:10PM","244 ms","OK","London (UK)"
"up","10/12/2017 10:09:10PM","38 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:08:10PM","104 ms","OK","Chicago (IL)"
"up","10/12/2017 10:07:10PM","215 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 10:06:10PM","129 ms","OK","Dallas (TX)"
"up","10/12/2017 10:05:10PM","102 ms","OK","New York (NY)"
"up","10/12/2017 10:04:10PM","153 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 10:03:10PM","262 ms","OK","Seattle 2)"
"up","10/12/2017 10:02:10PM","363 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 10:01:10PM","59 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 10:00:10PM","268 ms","OK","London (UK)"
"up","10/12/2017 09:59:10PM","167 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:58:10PM","63 ms","OK","Chicago (IL)"
"up","10/12/2017 09:57:10PM","173 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 09:56:10PM","295 ms","OK","Dallas (TX)"
"up","10/12/2017 09:55:10PM","42 ms","OK","New York (NY)"
"up","10/12/2017 09:54:10PM","319 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 09:53:10PM","48 ms","OK","Seattle 2)"
"up","10/12/2017 09:52:10PM","149 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 09:51:10PM","71 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 09:50:10PM","138 ms","OK","London (UK)"
"up","10/12/2017 09:49:10PM","115 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:48:10PM","90 ms","OK","Chicago (IL)"
"up","10/12/2017 09:47:10PM","186 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 09:46:10PM","200 ms","OK","Dallas (TX)"
"up","10/12/2017 09:45:10PM","93 ms","OK","New York (NY)"
"up","10/12/2017 09:44:10PM","151 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 09:43:10PM","233 ms","OK","Seattle 2)"
"up","10/12/2017 09:42:10PM","88 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 09:41:10PM","64 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 09:40:10PM","63 ms","OK","London (UK)"
"up","10/12/2017 09:39:10PM","154 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:38:10PM","66 ms","OK","Chicago (IL)"
"up","10/12/2017 09:37:10PM","113 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 09:36:10PM","119 ms","OK","Dallas (TX)"
"up","10/12/2017 09:35:10PM","46 ms","OK","New York (NY)"
"up","10/12/2017 09:34:10PM","60 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 09:33:10PM","261 ms","OK","Seattle 2)"
"up","10/12/2017 09:32:10PM","112 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 09:31:10PM","178 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 09:30:10PM","245 ms","OK","London (UK)"
"up","10/12/2017 09:29:10PM","19 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:28:10PM","106 ms","OK","Chicago (IL)"
"up","10/12/2017 09:27:10PM","199 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 09:26:10PM","87 ms","OK","Dallas (TX)"
"up","10/12/2017 09:25:10PM","24 ms","OK","New York (NY)"
"up","10/12/2017 09:24:10PM","172 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 09:23:10PM","316 ms","OK","Seattle 2)"
"up","10/12/2017 09:22:10PM","101 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 09:21:10PM","65 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 09:20:10PM","58 ms","OK","London (UK)"
"up","10/12/2017 09:19:10PM","172 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:18:10PM","62 ms","OK","Chicago (IL)"
"up","10/12/2017 09:17:10PM","109 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 09:16:10PM","260 ms","OK","Dallas (TX)"
"up","10/12/2017 09:15:10PM","53 ms","OK","New York (NY)"
"up","10/12/2017 09:14:10PM","265 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 09:13:10PM","344 ms","OK","Seattle 2)"
"up","10/12/2017 09:12:10PM","249 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 09:11:10PM","57 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 09:10:10PM","147 ms","OK","London (UK)"
"up","10/12/2017 09:09:10PM","29 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:08:10PM","79 ms","OK","Chicago (IL)"
"up","10/12/2017 09:07:10PM","247 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 09:06:10PM","387 ms","OK","Dallas (TX)"
"up","10/12/2017 09:05:10PM","27 ms","OK","New York (NY)"
"up","10/12/2017 09:04:10PM","37 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 09:03:10PM","119 ms","OK","Seattle 2)"
"up","10/12/2017 09:02:10PM","125 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 09:01:10PM","230 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 09:00:10PM","156 ms","OK","London (UK)"
"up","10/12/2017 08:59:10PM","250 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:58:10PM","35 ms","OK","Chicago (IL)"
"up","10/12/2017 08:57:10PM","90 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 08:56:10PM","114 ms","OK","Dallas (TX)"
"up","10/12/2017 08:55:10PM","45 ms","OK","New York (NY)"
"up","10/12/2017 08:54:10PM","57 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 08:53:10PM","114 ms","OK","Seattle 2)"
"up","10/12/2017 08:52:10PM","128 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 08:51:10PM","70 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 08:50:10PM","277 ms","OK","London (UK)"
"up","10/12/2017 08:49:10PM","30 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:48:10PM","106 ms","OK","Chicago (IL)"
"up","10/12/2017 08:47:10PM","208 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 08:46:10PM","111 ms","OK","Dallas (TX)"
"up","10/12/2017 08:45:10PM","39 ms","OK","New York (NY)"
"up","10/12/2017 08:44:10PM","239 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 08:43:10PM","349 ms","OK","Seattle 2)"
"up","10/12/2017 08:42:10PM","125 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 08:41:10PM","46 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 08:40:10PM","178 ms","OK","London (UK)"
"up","10/12/2017 08:39:10PM","131 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:38:10PM","93 ms","OK","Chicago (IL)"
"up","10/12/2017 08:37:10PM","119 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 08:36:10PM","148 ms","OK","Dallas (TX)"
"up","10/12/2017 08:35:10PM","48 ms","OK","New York (NY)"
"up","10/12/2017 08:34:10PM","73 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 08:33:10PM","103 ms","OK","Seattle 2)"
"up","10/12/2017 08:32:10PM","92 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 08:31:10PM","160 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 08:30:10PM","110 ms","OK","London (UK)"
"up","10/12/2017 08:29:10PM","26 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:28:10PM","145 ms","OK","Chicago (IL)"
"up","10/12/2017 08:27:10PM","186 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 08:26:10PM","48 ms","OK","Dallas (TX)"
"up","10/12/2017 08:25:10PM","104 ms","OK","New York (NY)"
"up","10/12/2017 08:24:10PM","145 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 08:23:10PM","297 ms","OK","Seattle 2)"
"up","10/12/2017 08:22:10PM","123 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 08:21:10PM","62 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 08:20:10PM","143 ms","OK","London (UK)"
"up","10/12/2017 08:19:10PM","152 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:18:10PM","60 ms","OK","Chicago (IL)"
"up","10/12/2017 08:17:10PM","279 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 08:16:10PM","237 ms","OK","Dallas (TX)"
"up","10/12/2017 08:15:10PM","22 ms","OK","New York (NY)"
"up","10/12/2017 08:14:10PM","181 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 08:13:10PM","227 ms","OK","Seattle 2)"
"up","10/12/2017 08:12:10PM","114 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 08:11:10PM","84 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 08:10:10PM","116 ms","OK","London (UK)"
"up","10/12/2017 08:09:10PM","46 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 08:08:10PM","581 ms","OK","Chicago (IL)"
"up","10/12/2017 08:07:10PM","98 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 08:06:10PM","150 ms","OK","Dallas (TX)"
"up","10/12/2017 08:05:10PM","43 ms","OK","New York (NY)"
"up","10/12/2017 08:04:10PM","250 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 08:03:10PM","323 ms","OK","Seattle 2)"
"up","10/12/2017 08:02:10PM","103 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 08:01:10PM","198 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 08:00:10PM","166 ms","OK","London (UK)"
"up","10/12/2017 07:59:10PM","215 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 07:58:10PM","101 ms","OK","Chicago (IL)"
"up","10/12/2017 07:57:10PM","195 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 07:56:10PM","164 ms","OK","Dallas (TX)"
"up","10/12/2017 07:55:10PM","38 ms","OK","New York (NY)"
"up","10/12/2017 07:54:10PM","114 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 07:53:10PM","298 ms","OK","Seattle 2)"
"up","10/12/2017 07:52:10PM","130 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 07:51:10PM","100 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 07:50:10PM","265 ms","OK","London (UK)"
"up","10/12/2017 07:49:10PM","62 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 07:48:10PM","65 ms","OK","Chicago (IL)"
"up","10/12/2017 07:47:10PM","126 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 07:46:10PM","151 ms","OK","Dallas (TX)"
"up","10/12/2017 07:45:10PM","99 ms","OK","New York (NY)"
"up","10/12/2017 07:44:10PM","220 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 07:43:10PM","147 ms","OK","Seattle 2)"
"up","10/12/2017 07:42:10PM","120 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 07:41:10PM","50 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 07:40:10PM","177 ms","OK","London (UK)"
"up","10/12/2017 07:39:10PM","170 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 07:38:10PM","113 ms","OK","Chicago (IL)"
"up","10/12/2017 07:37:10PM","213 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 07:36:10PM","184 ms","OK","Dallas (TX)"
"up","10/12/2017 07:35:10PM","55 ms","OK","New York (NY)"
"up","10/12/2017 07:34:10PM","88 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 07:33:10PM","147 ms","OK","Seattle 2)"
"up","10/12/2017 07:32:10PM","120 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 07:31:10PM","209 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 07:30:10PM","100 ms","OK","London (UK)"
"up","10/12/2017 07:29:10PM","21 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 07:28:10PM","41 ms","OK","Chicago (IL)"
"up","10/12/2017 07:27:10PM","164 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 07:26:10PM","236 ms","OK","Dallas (TX)"
"up","10/12/2017 07:25:10PM","110 ms","OK","New York (NY)"
"up","10/12/2017 07:24:10PM","232 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 07:23:10PM","202 ms","OK","Seattle 2)"
"up","10/12/2017 07:22:10PM","154 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 07:21:10PM","83 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 07:20:10PM","164 ms","OK","London (UK)"
"up","10/12/2017 07:19:10PM","213 ms","OK","Stockholm 3 (Sweden)"
