"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 10:38:24PM","65 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:37:24PM","249 ms","OK","Athens (Greece)"
"up","10/12/2017 10:36:24PM","630 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 10:35:24PM","89 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:34:24PM","135 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 10:33:24PM","102 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 10:32:24PM","47 ms","OK","Philadelphia (PA)"
"up","10/12/2017 10:31:24PM","76 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 10:30:24PM","300 ms","OK","London (UK)"
"up","10/12/2017 10:29:24PM","72 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 10:28:24PM","67 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:27:24PM","604 ms","OK","Athens (Greece)"
"up","10/12/2017 10:26:24PM","601 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 10:25:24PM","49 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:24:24PM","99 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 10:23:24PM","112 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 10:22:24PM","115 ms","OK","Philadelphia (PA)"
"up","10/12/2017 10:21:24PM","87 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 10:20:24PM","53 ms","OK","London (UK)"
"up","10/12/2017 10:19:24PM","75 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 10:18:24PM","66 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:17:24PM","246 ms","OK","Athens (Greece)"
"up","10/12/2017 10:16:24PM","629 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 10:15:24PM","47 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:14:24PM","109 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 10:13:24PM","105 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 10:12:24PM","26 ms","OK","Philadelphia (PA)"
"up","10/12/2017 10:11:24PM","114 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 10:10:24PM","137 ms","OK","London (UK)"
"up","10/12/2017 10:09:24PM","109 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 10:08:24PM","65 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:07:24PM","598 ms","OK","Athens (Greece)"
"up","10/12/2017 10:06:24PM","577 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 10:05:24PM","23 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:04:24PM","542 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 10:03:24PM","111 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 10:02:24PM","67 ms","OK","Philadelphia (PA)"
"up","10/12/2017 10:01:24PM","93 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 10:00:24PM","60 ms","OK","London (UK)"
"up","10/12/2017 09:59:24PM","86 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 09:58:24PM","87 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 09:57:24PM","608 ms","OK","Athens (Greece)"
"up","10/12/2017 09:56:24PM","611 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 09:55:24PM","39 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:54:24PM","219 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 09:53:24PM","142 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 09:52:24PM","29 ms","OK","Philadelphia (PA)"
"up","10/12/2017 09:51:24PM","124 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 09:50:24PM","58 ms","OK","London (UK)"
"up","10/12/2017 09:49:24PM","81 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 09:48:24PM","86 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 09:47:24PM","242 ms","OK","Athens (Greece)"
"up","10/12/2017 09:46:24PM","624 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 09:45:24PM","29 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:44:24PM","447 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 09:43:24PM","122 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 09:42:24PM","52 ms","OK","Philadelphia (PA)"
"up","10/12/2017 09:41:24PM","253 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 09:40:24PM","66 ms","OK","London (UK)"
"up","10/12/2017 09:39:24PM","78 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 09:38:24PM","161 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 09:37:24PM","245 ms","OK","Athens (Greece)"
"up","10/12/2017 09:36:24PM","568 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 09:35:24PM","30 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:34:24PM","113 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 09:33:24PM","214 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 09:32:24PM","25 ms","OK","Philadelphia (PA)"
"up","10/12/2017 09:31:24PM","105 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 09:30:24PM","131 ms","OK","London (UK)"
"up","10/12/2017 09:29:24PM","87 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 09:28:24PM","80 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 09:27:24PM","249 ms","OK","Athens (Greece)"
"up","10/12/2017 09:26:24PM","586 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 09:25:24PM","91 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 09:24:24PM","175 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 09:23:24PM","110 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 09:22:24PM","60 ms","OK","Philadelphia (PA)"
"up","10/12/2017 09:21:24PM","117 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 09:20:24PM","166 ms","OK","London (UK)"
